username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-06-24 05:45;0;1;"@AryaStark Alton Brown's recipe. Just enough vodka. http://www. foodnetwork.com/recipes/alton- brown/melon-sorbet-recipe.html …";;@AryaStark;;"746187346157015040";https://twitter.com/liprap/status/746187346157015040
;2016-06-24 05:27;0;5;"if arya stark dies i am murdering everyone in a thirty mile radius";;;;"746183033548529665";https://twitter.com/evasonnen/status/746183033548529665
;2016-06-24 05:18;0;3;"Who's super stoked about the Arya Stark shirt I ordered today? Me!";;;;"746180684167921664";https://twitter.com/JamieLauren14/status/746180684167921664
;2016-06-24 05:12;0;3;"E08 done, E09 na ba huhuhu a girl is arya stark of winterfell buti naman napatay na yung waif god i hated her";;;;"746179108787257344";https://twitter.com/DonPabloo/status/746179108787257344
;2016-06-24 05:06;0;0;"Why Did Jaqen H’Ghar Let Arya Stark Leave the House of Black and White?: At the end of “Blood of My Blood” ep... http:// bit.ly/28UB7lr";;;;"746177714156015617";https://twitter.com/electricgherkin/status/746177714156015617
;2016-06-24 05:01;0;0;"It's the little things that crack me up... @SportsSturm somehow gets an Arya Stark reference into NBA draft coverage... Quite Strong!";;@SportsSturm;;"746176312553803776";https://twitter.com/CowboysFanStu/status/746176312553803776
;2016-06-24 04:37;0;6;"I want to be as strong and vengeful as Arya Stark";;;;"746170411944022016";https://twitter.com/bloobart/status/746170411944022016
;2016-06-24 04:36;0;0;"Harry Styles me lembra a Maisie Williams aka Arya Stark";;;;"746169981939908608";https://twitter.com/DooArtt/status/746169981939908608
;2016-06-24 04:25;3;1;"Jon and Arya Stark hugging appreciation tweet pic.twitter.com/VT0aAeuTW5";;;;"746167446155976704";https://twitter.com/holyzac/status/746167446155976704
;2016-06-24 04:14;0;1;"Una Targaryen, una Greyjoy y un Lannister la siguiente en unirse será Arya Stark #GameofThrones";;;#GameofThrones;"746164645598134272";https://twitter.com/esdru_isai/status/746164645598134272
;2016-06-24 03:21;0;0;"ARYA STARK https:// twitter.com/arthurcestmoi/ status/746107721326411776 …";;;;"746151153000390656";https://twitter.com/aryastvrk_/status/746151153000390656
